TICKER,YEAR,QUARTER,AVG_QUARTER_OPEN,AVG_QUARTER_CLOSE
06N,1997,2,75.00423076923076,75.00423076923076
06N,1997,3,65.61187272727273,65.52327602108038
06N,1997,4,57.416118599033815,57.321944927536244
06N,1998,1,50.55216363636364,50.62293939393939
06N,1998,2,45.62748245614034,45.5887192982456
06N,1998,3,47.04889350021958,47.06314257481648
06N,1998,4,37.9238888888889,37.94290418470419
06N,1999,1,50.0268884057971,50.212626086956526
06N,1999,2,52.78703333333334,53.22803333333332
06N,1999,3,45.12366666666666,45.12613636363636
06N,1999,4,35.445739807852966,35.66057719298246
06N,2000,1,35.876166321601104,36.19618012422361
06N,2000,2,36.311361375661384,36.55126825396825
06N,2000,3,37.04366089466089,37.207433621933625
06N,2000,4,32.54678503075871,32.74088653451812
06N,2001,1,23.76414696969697,23.762200000000007
06N,2001,2,27.434125187969926,27.998568546365913
06N,2001,3,29.388589393939395,29.89579090909091
06N,2001,4,29.32840901771337,29.830291350356575
06N,2002,1,28.24879545454546,28.56802424242424
06N,2002,2,30.75005238095238,31.12946428571428
06N,2002,3,33.21304071773637,33.787211180124224
06N,2002,4,32.00388558352403,32.50819679633867
06N,2003,1,35.49631854256854,35.94457597402597
06N,2003,2,36.874803174603166,37.43623888888889
06N,2003,3,36.64005810276678,36.73251837944663
06N,2003,4,36.47055785659803,36.65883058733792
06N,2004,1,37.22534934437543,37.45722874396135
06N,2004,2,40.452178571428576,40.74950476190476
06N,2004,3,43.8614393939394,44.227772727272715
06N,2004,4,44.74646307798481,45.44376197377502
06N,2005,1,49.816251587301586,50.99824682539682
06N,2005,2,51.86130606060605,52.945022727272715
06N,2005,3,48.9680101010101,49.63495165945165
06N,2005,4,52.09016507936507,53.10153809523809
06N,2006,1,53.29922740447958,54.05759927536232
06N,2006,2,59.99304232804233,60.484137566137576
06N,2006,3,65.80240836940837,66.60125757575757
06N,2006,4,80.40232357408672,80.58966195792512
06N,2007,1,78.82781969696968,78.93488181818181
06N,2007,2,85.241352213868,85.63850296574772
06N,2007,3,77.55164848484849,77.59558939393939
06N,2007,4,71.60924925912396,71.05231043721835
06N,2008,1,27.35837320574163,27.360245310245308
