Name,Market value,Period end
06MAGNA,27840000.0,2013-12-31
06MAGNA,29510000.0,2014-12-31
06MAGNA,25340000.0,2015-12-31
06MAGNA,10580000.0,2016-12-31
06MAGNA,5150000.0,2017-12-31
06MAGNA,2780000.0,2018-12-31
06MAGNA,2780000.0,2019-12-31
06MAGNA,21580000.0,2020-12-31
06MAGNA,37450000.0,2021-12-31
08OCTAVA,34660000.0,2013-12-31
08OCTAVA,36800000.0,2014-12-31
08OCTAVA,43210000.0,2015-12-31
08OCTAVA,48350000.0,2016-12-31
08OCTAVA,42360000.0,2017-12-31
08OCTAVA,35090000.0,2018-12-31
08OCTAVA,34320000.0,2019-12-31
08OCTAVA,35510000.0,2020-12-31
08OCTAVA,43640000.0,2021-12-31
11BIT,156530000.0,2015-12-31
11BIT,325480000.0,2016-12-31
11BIT,452870000.0,2017-12-31
11BIT,558080000.0,2018-12-31
11BIT,914880000.0,2019-12-31
11BIT,1118900000.0,2020-12-31
11BIT,1311270000.0,2021-12-31
4FUNMEDIA,75580000.0,2013-12-31
4FUNMEDIA,23970000.0,2014-12-31
4FUNMEDIA,22310000.0,2015-12-31
4FUNMEDIA,21380000.0,2016-12-31
4FUNMEDIA,39130000.0,2017-12-31
4FUNMEDIA,48400000.0,2018-12-31
4FUNMEDIA,22470000.0,2019-12-31
4FUNMEDIA,19330000.0,2020-12-31
4FUNMEDIA,32470000.0,2021-12-31
AATHOLD,147840000.0,2015-12-31
AATHOLD,139600000.0,2016-12-31
AATHOLD,160000000.0,2017-12-31
ABADONRE,115080000.0,2016-12-31
ABADONRE,215000000.0,2017-12-31
ABADONRE,115080000.0,2018-12-31
ABCDATA,538580000.0,2013-12-31
ABCDATA,425910000.0,2014-12-31
ABCDATA,394590000.0,2015-12-31
ABCDATA,241770000.0,2016-12-31
ABCDATA,260560000.0,2017-12-31
ABCDATA,157840000.0,2018-12-31
ABMSOLID,5550000.0,2013-12-31
ABMSOLID,1980000.0,2014-12-31
ABMSOLID,3110000.0,2015-12-31
ABMSOLID,7130000.0,2016-12-31
ABMSOLID,9400000.0,2017-12-31
ABMSOLID,2840000.0,2018-12-31
ABPL,526100000.0,2013-12-31
ABPL,495340000.0,2014-12-31
ABPL,535970000.0,2015-12-31
ABPL,564140000.0,2016-12-31
ABPL,497280000.0,2017-12-31
ABPL,257380000.0,2018-12-31
ABPL,417640000.0,2019-12-31
ABPL,516390000.0,2020-12-31
ABPL,874130000.0,2021-12-31
ACAUTOGAZ,440730000.0,2013-12-31
ACAUTOGAZ,283600000.0,2014-12-31
ACAUTOGAZ,305560000.0,2015-12-31
ACAUTOGAZ,407030000.0,2016-12-31
ACAUTOGAZ,398500000.0,2017-12-31
ACAUTOGAZ,422210000.0,2018-12-31
ACAUTOGAZ,462330000.0,2019-12-31
ACAUTOGAZ,352580000.0,2020-12-31
ACAUTOGAZ,302210000.0,2021-12-31
ACE,348180000.0,2013-12-31
ACE,194260000.0,2014-12-31
ACE,339260000.0,2015-12-31
ACTION,797280000.0,2013-12-31
ACTION,763890000.0,2014-12-31
ACTION,490000000.0,2015-12-31
ACTION,68680000.0,2016-12-31
ACTION,52060000.0,2017-12-31
ACTION,48160000.0,2018-12-31
ACTION,52910000.0,2019-12-31
ACTION,105810000.0,2020-12-31
ACTION,295550000.0,2021-12-31
ADIUVO,229020000.0,2015-12-31
ADIUVO,283080000.0,2016-12-31
ADIUVO,147080000.0,2017-12-31
ADIUVO,83200000.0,2018-12-31
ADIUVO,72990000.0,2019-12-31
ADIUVO,60600000.0,2020-12-31
ADIUVO,32540000.0,2021-12-31
ADVADIS,2009999.9999999998,2013-12-31
ADVADIS,2009999.9999999998,2014-12-31
AGORA,498680000.0,2013-12-31
AGORA,384580000.0,2014-12-31
AGORA,600580000.0,2015-12-31
AGORA,597250000.0,2016-12-31
AGORA,688290000.0,2017-12-31
AGORA,465810000.0,2018-12-31
AGORA,484440000.0,2019-12-31
AGORA,336310000.0,2020-12-31
AGORA,341900000.0,2021-12-31
AGROTON,42260000.0,2013-12-31
AGROTON,26650000.0,2014-12-31
AGROTON,21890000.0,2015-12-31
AGROTON,87760000.0,2016-12-31
AGROTON,99250000.0,2017-12-31
AGROTON,75410000.0,2018-12-31
AGROTON,80160000.0,2019-12-31
AGROTON,94910000.0,2020-12-31
AGROTON,147360000.0,2021-12-31
AGROWILL,80580000.0,2013-12-31
AGROWILL,194910000.0,2014-12-31
AGROWILL,166800000.0,2015-12-31
AGROWILL,356090000.0,2016-12-31
AILLERON,81670000.0,2015-12-31
AILLERON,111080000.0,2016-12-31
AILLERON,219930000.0,2017-12-31
AILLERON,129729999.99999999,2018-12-31
AILLERON,102550000.0,2019-12-31
AILLERON,143320000.0,2020-12-31
AILLERON,148270000.0,2021-12-31
AIRWAY,102230000.0,2016-12-31
AIRWAY,41480000.0,2017-12-31
AIRWAY,37970000.0,2018-12-31
AIRWAY,30840000.0,2019-12-31
AIRWAY,96390000.0,2020-12-31
AIRWAY,42650000.0,2021-12-31
ALCHEMIA,1097110000.0,2013-12-31
ALCHEMIA,1000000000.0,2014-12-31
ALCHEMIA,1000000000.0,2015-12-31
ALCHEMIA,1000000000.0,2016-12-31
ALCHEMIA,864000000.0,2017-12-31
ALCHEMIA,934000000.0,2018-12-31
ALIOR,5180100000.0,2013-12-31
ALIOR,5456910000.0,2014-12-31
ALIOR,4835050000.0,2015-12-31
ALIOR,7004480000.0,2016-12-31
ALIOR,10276460000.0,2017-12-31
ALIOR,6938940000.0,2018-12-31
ALIOR,3744290000.0,2019-12-31
ALIOR,2215500000.0,2020-12-31
ALIOR,7141300000.0,2021-12-31
ALLEGRO,86669770000.0,2020-12-31
ALLEGRO,39763720000.0,2021-12-31
ALMA,200200000.0,2013-12-31
ALMA,83690000.0,2014-12-31
ALMA,41710000.0,2015-12-31
ALMA,10960000.0,2016-12-31
ALMA,4540000.0,2017-12-31
ALTA,62980000.0,2013-12-31
ALTA,31340000.0,2014-12-31
ALTA,38340000.0,2015-12-31
ALTA,42750000.0,2016-12-31
ALTA,41990000.0,2017-12-31
ALTA,27230000.0,2018-12-31
ALTA,26320000.0,2019-12-31
ALTA,19670000.0,2020-12-31
ALTA,33900000.0,2021-12-31
ALTERCO,4440000.0,2013-12-31
ALTERCO,3740000.0,2014-12-31
ALTERCO,1630000.0,2015-12-31
ALTUSTFI,532520000.0,2014-12-31
ALTUSTFI,682960000.0,2015-12-31
ALTUSTFI,889840000.0,2016-12-31
ALTUSTFI,677960000.0,2017-12-31
ALTUSTFI,98700000.0,2018-12-31
ALTUSTFI,68070000.0,2019-12-31
ALTUSTFI,39770000.0,2020-12-31
ALTUSTFI,60150000.0,2021-12-31
ALUMETAL,686020000.0,2014-12-31
ALUMETAL,773590000.0,2015-12-31
ALUMETAL,944270000.0,2016-12-31
ALUMETAL,835120000.0,2017-12-31
ALUMETAL,660200000.0,2018-12-31
ALUMETAL,622280000.0,2019-12-31
ALUMETAL,727540000.0,2020-12-31
ALUMETAL,881980000.0,2021-12-31
AMBRA,256600000.00000003,2013-12-31
AMBRA,196610000.0,2014-12-31
AMBRA,181740000.0,2015-12-31
AMBRA,199130000.0,2016-12-31
AMBRA,360200000.0,2017-12-31
AMBRA,320120000.0,2018-12-31
AMBRA,431030000.0,2019-12-31
AMBRA,483970000.0,2020-12-31
AMBRA,625120000.0,2021-12-31
AMICA,870830000.0,2013-12-31
AMICA,847500000.0,2014-12-31
AMICA,1352900000.0,2015-12-31
AMICA,1449310000.0,2016-12-31
AMICA,978520000.0,2017-12-31
AMICA,892600000.0,2018-12-31
AMICA,1065210000.0,2019-12-31
AMICA,1141410000.0,2020-12-31
AMICA,878610000.0,2021-12-31
AMPLI,2590000.0,2013-12-31
AMPLI,820000.0,2014-12-31
AMPLI,720000.0,2015-12-31
AMPLI,720000.0,2016-12-31
AMPLI,720000.0,2017-12-31
AMPLI,720000.0,2018-12-31
AMPLI,720000.0,2019-12-31
AMPLI,2130000.0,2020-12-31
AMPLI,1810000.0,2021-12-31
AMREST,1909250000.0,2013-12-31
AMREST,2121389999.9999998,2014-12-31
AMREST,3992450000.0,2015-12-31
AMREST,6279310000.0,2016-12-31
AMREST,8697700000.0,2017-12-31
AMREST,8782170000.0,2018-12-31
AMREST,9506700000.0,2019-12-31
AMREST,6081650000.0,2020-12-31
AMREST,6086040000.0,2021-12-31
ANSWEAR,539430000.0,2021-12-31
APATOR,1213040000.0,2013-12-31
APATOR,1223300000.0,2014-12-31
APATOR,1085910000.0,2015-12-31
APATOR,989900000.0,2016-12-31
APATOR,893890000.0,2017-12-31
APATOR,794570000.0,2018-12-31
APATOR,690080000.0,2019-12-31
APATOR,784070000.0,2020-12-31
APATOR,652850000.0,2021-12-31
APLISENS,242230000.0,2013-12-31
APLISENS,159210000.0,2014-12-31
APLISENS,169000000.0,2015-12-31
APLISENS,165570000.0,2016-12-31
APLISENS,168060000.0,2017-12-31
APLISENS,130960000.00000001,2018-12-31
APLISENS,132220000.0,2019-12-31
APLISENS,132150000.0,2020-12-31
APLISENS,166170000.0,2021-12-31
APLITT,166700000.0,2016-12-31
APSENERGY,113340000.0,2015-12-31
APSENERGY,99210000.0,2016-12-31
APSENERGY,83710000.0,2017-12-31
APSENERGY,62850000.0,2018-12-31
APSENERGY,56370000.0,2019-12-31
APSENERGY,51300000.0,2020-12-31
APSENERGY,88220000.0,2021-12-31
ARCHICOM,354990000.0,2016-12-31
ARCHICOM,419940000.0,2017-12-31
ARCHICOM,296040000.0,2018-12-31
ARCHICOM,440190000.0,2019-12-31
ARCHICOM,592980000.0,2020-12-31
ARCHICOM,533940000.00000006,2021-12-31
ARCTIC,191930000.0,2013-12-31
ARCTIC,300020000.0,2014-12-31
ARCTIC,276460000.0,2015-12-31
ARCTIC,384550000.0,2016-12-31
ARCTIC,279230000.0,2017-12-31
ARCTIC,214790000.0,2018-12-31
ARCTIC,239040000.0,2019-12-31
ARCTIC,392170000.0,2020-12-31
ARCTIC,575090000.0,2021-12-31
ARCUS,16340000.0,2013-12-31
ARCUS,9740000.0,2014-12-31
ARCUS,6510000.0,2015-12-31
ARCUS,9220000.0,2016-12-31
ARCUS,17860000.0,2017-12-31
ARCUS,8640000.0,2018-12-31
ARCUS,16540000.0,2019-12-31
ARMATURA,136080000.0,2013-12-31
ARTERIA,98210000.0,2013-12-31
ARTERIA,55090000.0,2014-12-31
ARTERIA,61870000.0,2015-12-31
ARTERIA,39880000.0,2016-12-31
ARTERIA,32530000.0,2017-12-31
ARTERIA,19040000.0,2018-12-31
ARTERIA,23270000.0,2019-12-31
ARTERIA,16390000.0,2020-12-31
ARTERIA,28820000.0,2021-12-31
ARTIFEX,236250000.0,2016-12-31
ARTIFEX,85260000.0,2017-12-31
ARTIFEX,49970000.0,2018-12-31
ARTIFEX,34980000.0,2019-12-31
ARTIFEX,100650000.0,2020-12-31
ARTIFEX,113020000.0,2021-12-31
ASBIS,410700000.0,2013-12-31
ASBIS,55500000.0,2014-12-31
ASBIS,73820000.0,2015-12-31
ASBIS,164840000.0,2016-12-31
ASBIS,176490000.0,2017-12-31
ASBIS,139860000.0,2018-12-31
ASBIS,181210000.0,2019-12-31
ASBIS,448440000.0,2020-12-31
ASBIS,1204350000.0,2021-12-31
ASMGROUP,307340000.0,2016-12-31
ASMGROUP,229220000.0,2017-12-31
ASMGROUP,196150000.0,2018-12-31
ASMGROUP,195010000.0,2019-12-31
ASMGROUP,85530000.0,2020-12-31
ASMGROUP,25660000.0,2021-12-31
ASSECOBS,434440000.0,2013-12-31
ASSECOBS,455820000.0,2014-12-31
ASSECOBS,517980000.0,2015-12-31
ASSECOBS,802040000.0,2016-12-31
ASSECOBS,902290000.0,2017-12-31
ASSECOBS,932370000.0,2018-12-31
ASSECOBS,949080000.0,2019-12-31
ASSECOBS,1229790000.0,2020-12-31
ASSECOBS,1450350000.0,2021-12-31
ASSECOPOL,3815520000.0,2013-12-31
ASSECOPOL,4233020000.0000005,2014-12-31
ASSECOPOL,4714420000.0,2015-12-31
ASSECOPOL,4478700000.0,2016-12-31
ASSECOPOL,3650350000.0,2017-12-31
ASSECOPOL,3827970000.0,2018-12-31
ASSECOPOL,5282970000.0,2019-12-31
ASSECOPOL,5652320000.0,2020-12-31
ASSECOPOL,7175380000.0,2021-12-31
ASSECOSEE,481580000.0,2013-12-31
ASSECOSEE,430720000.0,2014-12-31
ASSECOSEE,508560000.0,2015-12-31
ASSECOSEE,478980000.0,2016-12-31
ASSECOSEE,674630000.0,2017-12-31
ASSECOSEE,596780000.0,2018-12-31
ASSECOSEE,1286980000.0,2019-12-31
ASSECOSEE,2231450000.0,2020-12-31
ASSECOSEE,2677740000.0,2021-12-31
ASSECOSLO,435530000.0,2013-12-31
ASSECOSLO,333640000.0,2014-12-31
ASSECOSLO,382980000.0,2015-12-31
ASSECOSLO,521179999.99999994,2016-12-31
ASTARTA,1672500000.0,2013-12-31
ASTARTA,500000000.0,2014-12-31
ASTARTA,862500000.0,2015-12-31
ASTARTA,1351250000.0,2016-12-31
ASTARTA,1287250000.0,2017-12-31
ASTARTA,575000000.0,2018-12-31
ASTARTA,400000000.0,2019-12-31
ASTARTA,655000000.0,2020-12-31
ASTARTA,1060000000.0,2021-12-31
ATAL,835850000.0,2015-12-31
ATAL,1107620000.0,2016-12-31
ATAL,1653110000.0,2017-12-31
ATAL,1084010000.0,2018-12-31
ATAL,1471160000.0,2019-12-31
ATAL,1258220000.0,2020-12-31
ATAL,1784740000.0,2021-12-31
ATENDE,113390000.0,2013-12-31
ATENDE,85410000.0,2014-12-31
ATENDE,97760000.0,2015-12-31
ATENDE,137380000.0,2016-12-31
ATENDE,148640000.0,2017-12-31
ATENDE,145370000.0,2018-12-31
ATENDE,129380000.0,2019-12-31
ATENDE,151190000.0,2020-12-31
ATENDE,157730000.0,2021-12-31
ATLANTAPL,36550000.0,2013-12-31
ATLANTAPL,43250000.0,2014-12-31
ATLANTAPL,57810000.0,2015-12-31
ATLANTAPL,42950000.0,2016-12-31
ATLANTAPL,25530000.0,2017-12-31
ATLANTAPL,30340000.0,2018-12-31
ATLANTAPL,25950000.0,2019-12-31
ATLANTAPL,43860000.0,2020-12-31
ATLANTAPL,57870000.0,2021-12-31
ATLANTIS,34020000.0,2013-12-31
ATLANTIS,35910000.0,2014-12-31
ATLANTIS,13500000.0,2015-12-31
ATLANTIS,15000000.0,2016-12-31
ATLANTIS,17250000.0,2017-12-31
ATLANTIS,12250000.0,2018-12-31
ATLANTIS,12660000.0,2019-12-31
ATLANTIS,17750000.0,2020-12-31
ATLANTIS,27450000.0,2021-12-31
ATLASEST,62900000.0,2013-12-31
ATLASEST,45290000.0,2014-12-31
ATLASEST,51830000.0,2015-12-31
ATLASEST,46800000.0,2016-12-31
ATLASEST,72460000.0,2017-12-31
ATLASEST,49320000.0,2018-12-31
ATLASEST,75480000.0,2019-12-31
ATLASEST,93600000.0,2020-12-31
ATLASEST,99130000.0,2021-12-31
ATM,457930000.0,2013-12-31
ATM,416860000.0,2014-12-31
ATM,345260000.0,2015-12-31
ATM,379790000.0,2016-12-31
ATM,393600000.0,2017-12-31
ATM,292930000.0,2018-12-31
ATM,361980000.0,2019-12-31
ATMGRUPA,252900000.0,2013-12-31
ATMGRUPA,277350000.0,2014-12-31
ATMGRUPA,345630000.0,2015-12-31
ATMGRUPA,347320000.0,2016-12-31
ATMGRUPA,370920000.0,2017-12-31
ATMGRUPA,375980000.0,2018-12-31
ATMGRUPA,379350000.0,2019-12-31
ATMGRUPA,344790000.0,2020-12-31
ATMGRUPA,375140000.0,2021-12-31
ATREM,63600000.0,2013-12-31
ATREM,37100000.0,2014-12-31
ATREM,35260000.0,2015-12-31
ATREM,26770000.0,2016-12-31
ATREM,22710000.0,2017-12-31
ATREM,12090000.0,2018-12-31
ATREM,18550000.0,2019-12-31
ATREM,20860000.0,2020-12-31
ATREM,23080000.0,2021-12-31
AUGA,412320000.0,2017-12-31
AUGA,395700000.0,2018-12-31
AUGA,443460000.0,2019-12-31
AUGA,477570000.0,2020-12-31
AUGA,550350000.0,2021-12-31
AURUM,1040000.0,2015-12-31
AUTOPARTN,512460000.00000006,2016-12-31
AUTOPARTN,608420000.0,2017-12-31
AUTOPARTN,502280000.0,2018-12-31
AUTOPARTN,613910000.0,2019-12-31
AUTOPARTN,1042349999.9999999,2020-12-31
AUTOPARTN,1854800000.0,2021-12-31
AVIAAML,352070000.0,2013-12-31
AVIAAML,350780000.0,2014-12-31
AVIAAML,188380000.0,2015-12-31
AVIAAML,259829999.99999997,2016-12-31
AVIAAML,232120000.0,2017-12-31
AVIASG,280440000.0,2013-12-31
AVIASG,170410000.0,2014-12-31
AVIASG,116670000.0,2015-12-31
AVIASG,186510000.0,2016-12-31
AVIASG,126390000.0,2017-12-31
AWBUD,43690000.0,2013-12-31
AWBUD,18130000.0,2014-12-31
AWBUD,26380000.0,2015-12-31
AWBUD,47150000.0,2016-12-31
AWBUD,32150000.0,2017-12-31
AWBUD,8660000.0,2018-12-31
AWBUD,18230000.0,2019-12-31
AWBUD,23890000.0,2020-12-31
B3SYSTEM,3680000.0,2013-12-31
B3SYSTEM,4270000.0,2014-12-31
B3SYSTEM,940000.0,2015-12-31
B3SYSTEM,1190000.0,2016-12-31
B3SYSTEM,1310000.0,2017-12-31
BACD,510000.0,2016-12-31
BAHOLDING,419670000.0,2017-12-31
BAHOLDING,68980000.0,2018-12-31
BAHOLDING,41550000.0,2019-12-31
BAHOLDING,31000000.0,2020-12-31
BAHOLDING,25260000.0,2021-12-31
BAKALLAND,46530000.0,2013-12-31
BAKALLAND,54380000.0,2014-12-31
BALTONA,80480000.0,2013-12-31
BALTONA,77670000.0,2014-12-31
BALTONA,72040000.0,2015-12-31
BALTONA,32420000.0,2016-12-31
BALTONA,31520000.0,2017-12-31
BALTONA,104460000.0,2018-12-31
BALTONA,75420000.0,2019-12-31
BANKBPH,4178399999.9999995,2013-12-31
BANKBPH,3756730000.0,2014-12-31
BANKBPH,2359840000.0,2015-12-31
BARLINEK,322640000.0,2013-12-31
BBIDEV,209230000.0,2013-12-31
BBIDEV,120310000.0,2014-12-31
BBIDEV,98340000.0,2015-12-31
BBIDEV,87880000.0,2016-12-31
BBIDEV,66950000.0,2017-12-31
BBIDEV,59630000.0,2018-12-31
BBIDEV,46870000.0,2019-12-31
BBIDEV,37700000.0,2020-12-31
BBIDEV,51560000.0,2021-12-31
BEDZIN,62920000.0,2013-12-31
BEDZIN,38550000.0,2014-12-31
BEDZIN,46610000.0,2015-12-31
BEDZIN,72430000.0,2016-12-31
BEDZIN,84710000.0,2017-12-31
BEDZIN,67080000.0,2018-12-31
BEDZIN,44880000.0,2019-12-31
BEDZIN,32119999.999999996,2020-12-31
BEDZIN,21570000.0,2021-12-31
BENEFIT,783130000.0,2013-12-31
BENEFIT,792000000.0,2014-12-31
BENEFIT,1124130000.0,2015-12-31
BENEFIT,1793750000.0,2016-12-31
BENEFIT,3129570000.0,2017-12-31
BENEFIT,2412860000.0,2018-12-31
BENEFIT,2521500000.0,2019-12-31
BENEFIT,2413840000.0,2020-12-31
BENEFIT,1865730000.0,2021-12-31
BERLING,116010000.0,2013-12-31
BERLING,66690000.0,2014-12-31
BERLING,81610000.0,2015-12-31
BERLING,74940000.0,2016-12-31
BERLING,68800000.0,2017-12-31
BERLING,73010000.0,2018-12-31
BERLING,77220000.0,2019-12-31
BERLING,74060000.0,2020-12-31
BERLING,86000000.0,2021-12-31
BEST,181350000.0,2013-12-31
BEST,169650000.0,2014-12-31
BEST,281940000.0,2015-12-31
BEST,477650000.0,2016-12-31
BEST,724970000.0,2017-12-31
BEST,575370000.0,2018-12-31
BEST,552360000.0,2019-12-31
BEST,437280000.0,2020-12-31
BEST,575370000.0,2021-12-31
BETACOM,18790000.0,2013-12-31
BETACOM,22020000.0,2014-12-31
BETACOM,17170000.0,2015-12-31
BETACOM,24240000.0,2016-12-31
BETACOM,23010000.0,2017-12-31
BETACOM,28080000.0,2018-12-31
BETACOM,18690000.0,2019-12-31
BETACOM,19030000.0,2020-12-31
BETACOM,12930000.0,2021-12-31
BGZ,3915030000.0,2013-12-31
BGZ,4488290000.0,2014-12-31
BGZBNPP,4068710000.0,2015-12-31
BGZBNPP,4860550000.0,2016-12-31
BGZBNPP,5718940000.0,2017-12-31
BGZBNPP,7149820000.0,2018-12-31
BGZBNPP,10024490000.0,2019-12-31
BGZBNPP,9375840000.0,2020-12-31
BGZBNPP,13453710000.0,2021-12-31
BIGCHEESE,143920000.0,2021-12-31
BIK,74300000.0,2016-12-31
BIK,66410000.0,2017-12-31
BIK,59680000.0,2018-12-31
BIK,60310000.0,2019-12-31
BIK,60410000.0,2020-12-31
BIOMEDLUB,92500000.0,2015-12-31
BIOMEDLUB,50460000.0,2016-12-31
BIOMEDLUB,83890000.0,2017-12-31
BIOMEDLUB,65370000.00000001,2018-12-31
BIOMEDLUB,65370000.00000001,2019-12-31
BIOMEDLUB,557850000.0,2020-12-31
BIOMEDLUB,289760000.0,2021-12-31
BIOPLANET,73920000.0,2021-12-31
BIOTON,171730000.0,2013-12-31
BIOTON,340880000.0,2014-12-31
BIOTON,1024359999.9999999,2015-12-31
BIOTON,701510000.0,2016-12-31
BIOTON,299670000.0,2017-12-31
BIOTON,434470000.0,2018-12-31
BIOTON,326280000.0,2019-12-31
BIOTON,371790000.0,2020-12-31
BIOTON,359340000.0,2021-12-31
BIPROMET,32860000.0,2013-12-31
BIPROMET,20890000.0,2014-12-31
BLACKLION,129960000.00000001,2013-12-31
BLACKLION,141990000.0,2014-12-31
BMPAG,63040000.0,2013-12-31
BMPAG,56720000.0,2014-12-31
BMPAG,67280000.0,2015-12-31
BMPAG,62930000.0,2016-12-31
BNPPL,2697140000.0,2013-12-31
BNPPL,2090610000.0000002,2014-12-31
BOGDANKA,4278910000.0,2013-12-31
BOGDANKA,3280950000.0,2014-12-31
BOGDANKA,1129590000.0,2015-12-31
BOGDANKA,2363940000.0,2016-12-31
BOGDANKA,2278910000.0,2017-12-31
BOGDANKA,1744900000.0,2018-12-31
BOGDANKA,1185370000.0,2019-12-31
