filename,Company Name,Sector,Ticker
11BIT.xlsx,11 bit studios SA,gry,11B
3LPSA.xlsx,3LP SA,,3LP_IPO
3RGAMES.xlsx,3R Games SA,gry,3RG
AB.xlsx,AB SA,komputery i elektronika,ABE
AC.xlsx,AC SA,części samochodowe,ACG
ACTION.xlsx,Action SA,komputery i elektronika,ACT
ADIUVO.xlsx,Adiuvo Investments SA,sprzęt i materiały medyczne,ADV
AGORA.xlsx,Agora SA,wydawnictwa,AGO
AGROPUBL.xlsx,Agroton plc.,produkcja rolna i rybołówstwo,AGT
AGROWILL.xlsx,AUGA Group AB,produkcja rolna i rybołówstwo,AUG
AIGAMES.xlsx,All in! Games SA,gry,ALG
AILLERON.xlsx,Ailleron SA,oprogramowanie,ALL
AIRWAY.xlsx,Airway Medix SA,sprzęt i materiały medyczne,AWM
ALLEGRO.xlsx,Allegro.eu SA,handel internetowy,ALE
ALUMETAL.xlsx,Alumetal SA,hutnictwo metali nieżelaznych,AML
AMBRA.xlsx,Ambra SA,napoje,AMB
AMICA.xlsx,Amica SA,sprzęt elektryczny i elektroniczny,AMC
AMPLI.xlsx,Ampli SA w upadłości układowej,artykuły elektryczne,APL
AMREST.xlsx,AmRest Holdings SE,hotele i restauracje,EAT
ANSWEAR.xlsx,Answear.com SA,handel internetowy,ANR
APATOR.xlsx,Apator SA,urządzenia elektryczne,APT
APLISENS.xlsx,Aplisens SA,urządzenia elektryczne,APN
APSENERG.xlsx,APS Energia SA,urządzenia elektryczne,APE
ARCTIC.xlsx,Arctic Paper SA,papier i opakowania,ATC
ARTERIA.xlsx,Arteria SA,usługi dla przedsiębiorstw,ARR
ARTIFEX.xlsx,Artifex Mundi SA,gry,ART
ASBIS.xlsx,ASBISc Enterprises plc.,komputery i elektronika,ASB
ASMGROUP.xlsx,ASM Group SA,reklama i marketing,ASM
ASSECOBS.xlsx,Asseco BS SA,oprogramowanie,ABS
ASSECOP.xlsx,Asseco Poland SA,systemy informatyczne,ACP
ASSECOSE.xlsx,Asseco SEE SA,oprogramowanie,ASE
ASTARTA.xlsx,Astarta Holding NV,produkcja rolna i rybołówstwo,AST
ATENDE.xlsx,Atende SA,systemy informatyczne,ATD
ATLANTA.xlsx,Atlanta Poland SA,żywność,ATP
ATMG.xlsx,ATM Grupa SA,radio i telewizja,ATG
ATREM.xlsx,Atrem SA,instalacje budowlane i telekomunikacyjne,ATR
AUTOPART.xlsx,Auto Partner SA,części samochodowe,APR
AZOTY.xlsx,Grupa Azoty SA,chemia podstawowa,ATT
BAHOLDING.xlsx,British Automotive Holding SA,motoryzacja - pozostałe,BAH
BEDZIN.xlsx,Elektrociepłownia Będzin SA,energetyka,BDZ
